date,forecast,lower,upper
2025-01-31,2.2067323585127827,-0.9911810877066904,5.404645804732256
2025-02-01,2.455303655049675,-1.7999689133809151,6.710576223480265
2025-02-02,2.5587461859952887,-1.958175358331144,7.0756677303217215
2025-02-03,2.5592729360440356,-1.9735765250438475,7.092122397131918
2025-02-04,2.517264083143932,-2.017699847015805,7.052228013303669
2025-02-05,2.475327754280877,-2.0681991250379603,7.018854633599714
2025-02-06,2.450952613707086,-2.0947890003876894,6.996694227801862
2025-02-07,2.443987985771863,-2.1005245765687413,6.988500548112468
2025-02-08,2.4470935001320826,-2.097520528739937,6.991707529004103
2025-02-09,2.4530412555483014,-2.0930662311206722,6.999148742217275
